시도,범주,군구,관광지,위도,경도
경상북도,보물,안동시,안동임청각,36.5689578,128.7580026
경상북도,비/탑/문/각,성주군,세종대왕자태실,36.014532,128.2948318
경상북도,비/탑/문/각,성주군,세종대왕자태실,36.014532,128.2948318
경상북도,비/탑/문/각,경주시,무열왕릉,35.82524882,129.18800721
경상북도,비/탑/문/각,울진군,봉평신라비전시관,37.04364059,129.40925174
경상북도,비/탑/문/각,성주군,세종대왕자태실,36.014532,128.2948318
경상북도,비/탑/문/각,경주시,무열왕릉,35.82524882,129.18800721
경상북도,비/탑/문/각,울진군,봉평신라비전시관,37.04364059,129.40925174
경상북도,서원/향교/서당,안동시,도산서원,36.7271914,128.8433137
경상북도,서원/향교/서당,안동시,도산서원,36.7271914,128.8433137
경상북도,서원/향교/서당,성주군,회연서원,35.8552440389129,128.192337721126
경상북도,서원/향교/서당,영천시,임고서원,36.0166584838963,128.973231441735
경상북도,서원/향교/서당,안동시,도산서원,36.7271914,128.8433137
경상북도,서원/향교/서당,청도군,선암서원,35.6777633363928,128.891567275678
경상북도,서원/향교/서당,성주군,회연서원,35.8552440389129,128.192337721126
경상북도,서원/향교/서당,청도군,선암서원,35.6777633363928,128.891567275678
경상북도,서원/향교/서당,성주군,회연서원,35.8552440389129,128.192337721126
경상북도,서원/향교/서당,영천시,임고서원,36.0166584838963,128.973231441735
경상북도,서원/향교/서당,청도군,선암서원,35.6777633363928,128.891567275678
경상북도,성/성터,칠곡군,가산산성,36.0346033784053,128.582937388077
경상북도,성/성터,구미시,천생산성,36.1106423177717,128.457864094213
경상북도,성/성터,칠곡군,가산산성,36.0346033784053,128.582937388077
경상북도,성/성터,구미시,천생산성,36.1106423177717,128.457864094213
경상북도,성/성터,구미시,천생산성,36.1106423177717,128.457864094213
경상북도,왕릉/고분,경주시,대릉원,35.8383029,129.2128614
경상북도,왕릉/고분,경주시,대릉원,35.8383029,129.2128614
경상북도,유명사적/유적지,경주시,경주동궁과월지,35.84941932,129.22905696
경상북도,유명사적/유적지,영주시,소수서원,36.9256387196958,128.580264197252
경상북도,유명사적/유적지,경주시,경주동궁과월지,35.84941932,129.22905696
경상북도,유명사적/유적지,경주시,통일전,35.7984837106594,129.238930491158
경상북도,유명사적/유적지,영주시,소수서원,36.9256387196958,128.580264197252
경상북도,유명사적/유적지,경주시,통일전,35.7984837106594,129.238930491158
경상북도,유명사적/유적지,경주시,경주감은사지,35.82256298,129.25900082
경상북도,유명사적/유적지,안동시,만휴정,36.4104501289165,128.909850835244
경상북도,유명사적/유적지,경주시,포석정,35.89747883,128.03325576
경상북도,유명사적/유적지,경주시,김유신장군묘,35.8457162603959,129.191069870469
경상북도,유명사적/유적지,경주시,경주오릉,35.82248088,129.20855032
경상북도,유명사적/유적지,안동시,태사묘,36.5668684255389,128.731767560641
경상북도,유명사적/유적지,경주시,경주감은사지,35.82256298,129.25900082
경상북도,유명사적/유적지,안동시,만휴정,36.4104501289165,128.909850835244
경상북도,유명사적/유적지,의성군,만취당,36.42397115,128.7623359
경상북도,유명사적/유적지,경주시,통일전,35.7984837106594,129.238930491158
경상북도,유명사적/유적지,경주시,포석정,35.89747883,128.03325576
경상북도,유명사적/유적지,영주시,소수서원,36.9256387196958,128.580264197252
경상북도,유명사적/유적지,경주시,경주동궁과월지,35.84941932,129.22905696
경상북도,유명사적/유적지,경주시,김유신장군묘,35.8457162603959,129.191069870469
경상북도,유명사적/유적지,경주시,경주오릉,35.82248088,129.20855032
경상북도,유명사적/유적지,안동시,태사묘,36.5668684255389,128.731767560641
경상북도,유명사적/유적지,의성군,만취당,36.42397115,128.7623359
